Name,Gender,Age,Batch,Department,Exampreperday,Studyhoursperweek,CGPA,SGPA,PreviousSGPA,academicsatisfactionrating,Weeklyscreentime,Dailysleepinghours,Socializationperweek,Relaxation,Stressrating
s1,Male,21,2022,CS,4.5,25,2.8,2.98,2.35,3,33,7,19,1,2
s2,Male,20,2022,CS,1.5,26,3.08,2.77,3.53,2,40,3,1.5,0,4
s3,Female,21,2022,CS,0,3.5,3.61,3.53,3.67,1,10,8.5,3,1,3
s4,Female,20,2022,CS,1.5,3.5,2.5,2.6,2.2,2,66,6.5,2,0,3
s5,Male,20,2022,CS,1,1.5,3.2,3.34,3.02,2,35,6.5,40,0,5
s6,Female,20,2022,CS,1,3.5,2.8,3,2.51,1,60,8,1.5,0,5
s7,Male,21,2022,CS,0,2.5,3.16,4,2.6,4,50,3.5,4.5,1,2
s8,Male,19,2023,CS,2,17,2.92,3.05,2.79,2,46,6,1,1,4
s9,Male,19,2023,CS,3,28,3,2.97,3.03,2,42,4,3,0,4
s10,Female,19,2023,CS,1,7,3.61,3.67,3.55,1,7,9,40,0,2
