Name,Gender,Age,Batch,Department,Exampreperday,Studyhoursperweek,CGPA,SGPA,PreviousSGPA,academicsatisfactionrating,Weeklyscreentime,Dailysleepinghours,Socializationperweek,Relaxation,Stressrating
s1,Male,21,2022,CS,4.5,25,2.8,2.98,2.35,3,33,7,19,1,2
s2,Male,20,2022,CS,1.5,26,3.08,2.77,3.53,2,40,3,1.5,0,4
s3,Female,21,2022,CS,0,3.5,3.61,3.53,3.67,1,10,8.5,3,1,3
s4,Female,20,2022,CS,1.5,3.5,2.5,2.6,2.2,2,66,6.5,2,0,3
s5,Male,20,2022,CS,1,1.5,3.2,3.34,3.02,2,35,6.5,40,0,5
s6,Female,20,2022,CS,1,3.5,2.8,3,2.51,1,60,8,1.5,0,5
s7,Male,21,2022,CS,0,2.5,3.16,4,2.6,4,50,3.5,4.5,1,2
s8,Male,19,2023,CS,2,17,2.92,3.05,2.79,2,46,6,1,1,4
s9,Male,19,2023,CS,3,28,3,2.97,3.03,2,42,4,3,0,4
s10,Female,19,2023,CS,1,7,3.61,3.67,3.55,1,7,9,40,0,2
s11,Female,20,2022,CS,3.5,20,2.8,3.02,2.56,3,50,8,0,0,3
s12,Male,20,2022,CS,0,1,2.15,1.92,2.36,4,73,5,70,0,5
s13,Female,20,2022,CS,1,4.5,3.5,3.4,3.5,2,28,9,35,0,3
s14,Male,20,2022,CS,1,4,2.81,3.08,2.7,3,70,6,0,1,3
s15,Male,21,2022,CS,0,1,2.58,2.42,2.83,2,60,4,0,1,1
s16,Male,21,2022,CS,1,3,2.54,2.8,2.17,3,75,5,45,0,2
s17,Female,23,2022,CS,7,21,2.7,2.8,2.6,3,70,6,14,1,3
s18,Male,21,2022,CS,1,6,3.49,3.51,3.47,2,6.5,6.5,4,0,4
s19,Male,21,2022,CS,1,2,3.31,3.34,3.17,3,25,6,4,1,4
s20,Female,18,2023,AI,0,4.5,2.42,2.55,2.29,2,55,4,8,0,5
s21,Female,19,2023,AI,0,2,2.9,2.96,2.84,2,58,6.5,6,0,5
s22,Male,21,2023,AI,0,10,3.1,3.42,2.78,3,30,5,3,0,4
s23,Female,18,2023,AI,0,2,3.08,2.25,3.91,1,80,5.5,5.5,0,5
s24,Male,19,2023,CS,2,7,2.75,2.52,2.98,2,20,6,6,0,3
s25,Male,20,2023,AI,7,10,3.1,3.07,3.13,3,30,4,7,0,3
s26,Female,20,2023,AI,0,8,2.5,2.6,2.4,2,50,6,50,1,3
s27,Male,18,2023,AI,0,2,3.4,3.5,3.3,1,50,5,8,1,3
s28,Male,18,2023,AI,0,3.5,2.15,2,2.3,1,87,8,5,0,2
s29,Male,20,2023,AI,4.5,2,1.78,1.28,2.28,2,120,6,42,1,3
s30,Male,22,2023,AI,0,0,1.55,1.43,1.67,5,75,8,21,0,5
s31,Male,20,2023,AI,0,7,3.1,3.2,3,2,40,7,4,0,3
s32,Male,20,2023,CS,1,30,2.8,2.9,2.7,2,69,5.5,4,1,1
s33,Female,19,2023,AI,1,3,2.1,1.97,2.23,3,79,8,0,0,4
s34,Female,21,2023,AI,0,3,2.95,2.82,3.08,1,59,4.5,35,0,4
s35,Female,19,2023,AI,1,2.3,2.23,1.48,2.98,3,71,7,22,1,2
